Date,crowd_level,crowd_status,User_satisfaction,Original_row_index
2021-05-30,0.73,Busy,2.0,0
2021-05-30,0.73,Busy,1.0,0
2021-05-30,0.73,Busy,2.0,0
2021-05-29,0.76,Packed,4.0,3
2021-05-28,0.63,Busy,5.0,4
2021-05-28,0.63,Busy,1.0,4
2021-05-27,0.66,Busy,2.0,6
2021-05-27,0.66,Busy,2.0,6
2021-05-27,0.66,Busy,1.0,6
2021-05-26,0.57,Busy,4.0,9
2021-05-26,0.57,Busy,1.0,9
2021-05-25,0.7,Busy,5.0,11
2021-05-25,0.7,Busy,2.0,11
2021-05-24,0.79,Packed,1.0,13
2021-05-24,0.79,Packed,5.0,13
2021-05-22,0.85,Packed,5.0,15
2021-05-19,0.7,Busy,5.0,16
2021-05-19,0.7,Busy,1.0,16
2021-05-19,0.7,Busy,4.0,16
2021-05-19,0.7,Busy,1.0,16
2021-05-19,0.7,Busy,2.0,16
2021-05-18,0.85,Packed,2.0,21
2021-05-18,0.85,Packed,5.0,21
2021-05-18,0.85,Packed,2.0,21
2021-05-17,0.83,Packed,5.0,24
2021-05-17,0.83,Packed,5.0,24
2021-05-16,0.6,Busy,1.0,26
2021-05-16,0.6,Busy,5.0,26
2021-05-15,0.81,Packed,5.0,28
2021-05-13,0.58,Busy,3.0,29
2021-05-13,0.58,Busy,2.0,29
2021-05-12,0.51,Busy,4.0,31
2021-05-11,0.68,Busy,5.0,32
2021-05-11,0.68,Busy,2.0,32
2021-05-10,0.71,Busy,1.0,34
2021-05-10,0.71,Busy,1.0,34
2021-05-08,0.65,Busy,2.0,36
2021-05-08,0.65,Busy,1.0,36
2021-05-07,0.58,Busy,5.0,38
2021-05-06,0.64,Busy,3.0,39
2021-05-06,0.64,Busy,1.0,39
2021-05-06,0.64,Busy,3.0,39
2021-05-06,0.64,Busy,1.0,39
2021-05-05,0.71,Busy,3.0,43
2021-05-04,0.83,Packed,1.0,44
2021-05-04,0.83,Packed,1.0,44
2021-05-03,0.71,Busy,4.0,46
2021-05-01,0.68,Busy,2.0,47
2021-05-01,0.68,Busy,5.0,47
2021-04-30,0.75,Packed,2.0,49
2021-04-29,0.62,Busy,1.0,50
2021-04-28,0.65,Busy,5.0,51
2021-04-28,0.65,Busy,1.0,51
2021-04-26,0.75,Packed,1.0,53
2021-04-26,0.75,Packed,5.0,53
2021-04-26,0.75,Packed,1.0,53
2021-04-26,0.75,Packed,5.0,53
2021-04-26,0.75,Packed,1.0,53
2021-04-25,0.8,Packed,5.0,58
2021-04-24,0.92,Packed,1.0,59
2021-04-24,0.92,Packed,4.0,59
2021-04-24,0.92,Packed,3.0,59
2021-04-24,0.92,Packed,5.0,59
2021-04-22,0.88,Packed,1.0,63
2021-04-22,0.88,Packed,5.0,63
2021-04-22,0.88,Packed,1.0,63
2021-04-20,0.61,Busy,5.0,66
2021-04-18,0.81,Packed,5.0,67
2021-04-18,0.81,Packed,1.0,67
2021-04-17,0.95,Packed,1.0,69
2021-04-17,0.95,Packed,3.0,69
2021-04-17,0.95,Packed,1.0,69
2021-04-16,0.84,Packed,2.0,72
2021-04-15,0.78,Packed,1.0,73
2021-04-14,0.79,Packed,4.0,74
2021-04-12,0.78,Packed,2.0,75
2021-04-12,0.78,Packed,1.0,75
2021-04-12,0.78,Packed,4.0,75
2021-04-11,0.46,Quiet,3.0,78
2021-04-11,0.46,Quiet,2.0,78
2021-04-10,0.82,Packed,1.0,80
2021-04-10,0.82,Packed,1.0,80
2021-04-10,0.82,Packed,2.0,80
2021-04-09,0.89,Packed,5.0,83
2021-04-09,0.89,Packed,3.0,83
2021-04-09,0.89,Packed,5.0,83
2021-04-09,0.89,Packed,4.0,83
2021-04-08,0.9,Packed,1.0,87
2021-04-08,0.9,Packed,1.0,87
2021-04-08,0.9,Packed,1.0,87
2021-04-08,0.9,Packed,2.0,87
2021-04-07,0.92,Packed,1.0,91
2021-04-07,0.92,Packed,5.0,91
2021-04-07,0.92,Packed,1.0,91
2021-04-06,0.92,Packed,4.0,94
2021-04-06,0.92,Packed,4.0,94
2021-04-06,0.92,Packed,5.0,94
2021-04-06,0.92,Packed,5.0,94
2021-04-05,0.89,Packed,2.0,98
2021-04-05,0.89,Packed,4.0,98
2021-04-05,0.89,Packed,1.0,98
2021-04-05,0.89,Packed,3.0,98
2021-04-04,0.88,Packed,1.0,102
2021-04-04,0.88,Packed,5.0,102
2021-04-04,0.88,Packed,5.0,102
2021-04-04,0.88,Packed,3.0,102
2021-04-03,0.94,Packed,5.0,106
2021-04-03,0.94,Packed,5.0,106
2021-04-03,0.94,Packed,1.0,106
2021-04-03,0.94,Packed,4.0,106
2021-04-03,0.94,Packed,1.0,106
2021-04-02,0.96,Packed,1.0,111
2021-04-02,0.96,Packed,5.0,111
2021-04-01,0.94,Packed,4.0,113
2021-04-01,0.94,Packed,4.0,113
2021-04-01,0.94,Packed,5.0,113
2021-03-31,0.88,Packed,1.0,116
2021-03-31,0.88,Packed,1.0,116
2021-03-31,0.88,Packed,1.0,116
2021-03-30,0.93,Packed,5.0,119
2021-03-30,0.93,Packed,1.0,119
2021-03-30,0.93,Packed,5.0,119
2021-03-29,0.93,Packed,1.0,122
2021-03-29,0.93,Packed,1.0,122
2021-03-29,0.93,Packed,1.0,122
2021-03-29,0.93,Packed,1.0,122
2021-03-29,0.93,Packed,3.0,122
2021-03-29,0.93,Packed,5.0,122
2021-03-28,0.74,Busy,1.0,128
2021-03-27,0.76,Packed,5.0,129
2021-03-26,0.77,Packed,1.0,130
2021-03-26,0.77,Packed,4.0,130
